Tour,City
Fall 2019,"Grand Island, Nebraska, USA"
Fall 2019,"Tulsa, Oklahoma, USA"
Fall 2019,"Lafayette, Louisiana, USA"
Fall 2019,"Ruston, Louisiana, USA"
Fall 2019,"Shreveport, Louisiana, USA"
Fall 2019,"Ottawa, Ontario, Canada"
Fall 2019,"Potenza, Italy"
Fall 2019,"Sarnano, Italy"
Fall 2019,"Agrigento, Italy"
Fall 2019,"Palermo, Italy"
Fall 2019,"Brindisi, Italy"
Fall 2019,"Donaueschingen, Germany"
Fall 2019,"Nyon, Switzerland"
Fall 2019,"Wartenberg, Germany"
Spring 2020,"Denver, Colorado, USA"
Spring 2020,"Lafayette, Colorado, USA"
Spring 2020,"Flagstaff, Arizona, USA"
Spring 2020,"Henderson, Nevada, USA"
